timestamp,hvac_status,lighting_status,ventilation_status,equipment_load
2024-01-01 02:34:00,idle,on,low,0.6765850808641038
2024-01-01 02:35:00,off,off,low,0.5370604518088736
2024-01-01 02:36:00,idle,on,low,0.30583552507871664
2024-01-01 02:37:00,off,off,low,0.7043336393678286
2024-01-01 02:38:00,idle,on,low,0.727432581337589
2024-01-01 02:39:00,off,off,low,0.6773038731352097
2024-01-01 02:40:00,idle,on,low,0.5051581305590533
2024-01-01 02:41:00,off,off,low,0.6177629124395767
2024-01-01 02:42:00,idle,on,low,0.5322946236800612
2024-01-01 02:43:00,off,off,low,0.7203730380958167
2024-01-01 02:44:00,idle,on,low,0.6501481117402133
2024-01-01 02:45:00,off,off,low,0.34907946829646985
2024-01-01 02:46:00,idle,on,low,0.6858561349313985
2024-01-01 02:47:00,off,off,low,0.7123430486026809
2024-01-01 02:48:00,idle,on,low,0.5224213083688196
2024-01-01 02:49:00,off,off,low,0.8254714685758227
2024-01-01 02:50:00,idle,on,low,0.8058086129069777
2024-01-01 02:51:00,off,off,low,0.4050999143398427
2024-01-01 02:52:00,idle,on,low,0.8425597850915212
2024-01-01 02:53:00,off,off,low,0.5645234228970466
2024-01-01 02:54:00,idle,on,low,0.7342497915805761
2024-01-01 02:55:00,off,off,low,0.7884582041803416
2024-01-01 02:56:00,idle,on,low,0.603067452641814
2024-01-01 02:57:00,off,off,low,0.5394611636224895
2024-01-01 02:58:00,idle,on,low,0.8492708211690592
2024-01-01 02:59:00,off,off,low,0.4385121317612539
2024-01-01 03:00:00,cooling,on,low,0.4541820466314867
2024-01-01 03:01:00,off,off,low,0.5169721884080622
2024-01-01 03:02:00,cooling,on,low,0.8156794667823395
2024-01-01 03:03:00,off,off,low,0.8632729585278456
2024-01-01 03:04:00,cooling,on,low,0.43204062885291716
2024-01-01 03:05:00,off,off,low,0.8183220885787472
2024-01-01 03:06:00,cooling,on,low,0.45492177568114156
2024-01-01 03:07:00,off,off,low,0.8823847480499329
2024-01-01 03:08:00,cooling,on,medium,0.6584447351889494
2024-01-01 03:09:00,off,off,medium,0.30425188046842944
2024-01-01 03:10:00,cooling,on,medium,0.3204779424427067
2024-01-01 03:11:00,off,off,medium,0.38849071848282507
2024-01-01 03:12:00,cooling,on,medium,0.412543894691254
2024-01-01 03:13:00,off,off,medium,0.760571473695958
2024-01-01 03:14:00,cooling,on,low,0.43365952585017
2024-01-01 03:15:00,off,off,low,0.881484972029916
2024-01-01 03:16:00,cooling,on,low,0.681667234321763
2024-01-01 03:17:00,off,off,low,0.7155105055521107
2024-01-01 03:18:00,cooling,on,low,0.4306899115711245
2024-01-01 03:19:00,off,off,low,0.835623788457051
2024-01-01 03:20:00,cooling,on,low,0.7006887436919589
2024-01-01 03:21:00,off,off,low,0.8186433746051183
2024-01-01 03:22:00,cooling,on,low,0.8738886583387362
2024-01-01 03:23:00,off,off,low,0.3753845862657579
2024-01-01 03:24:00,cooling,on,low,0.3579523381613674
2024-01-01 03:25:00,off,off,low,0.7820446959537815
2024-01-01 03:26:00,cooling,on,low,0.8196756354565022
2024-01-01 03:27:00,off,off,low,0.6502568525267914
2024-01-01 03:28:00,cooling,off,low,0.5196003286503124
2024-01-01 03:29:00,off,off,low,0.6915777816451343
2024-01-01 03:30:00,cooling,on,low,0.4833984435554744
2024-01-01 03:31:00,off,off,low,0.4430314152920809
2024-01-01 03:32:00,cooling,on,low,0.5928871257163593
2024-01-01 03:33:00,off,off,low,0.4296922965638278
2024-01-01 03:34:00,cooling,on,low,0.5902221649891037
2024-01-01 03:35:00,off,off,low,0.8739639032781432
2024-01-01 03:36:00,cooling,on,low,0.8038704213704344
2024-01-01 03:37:00,off,off,low,0.8649785517000135
2024-01-01 03:38:00,cooling,on,low,0.7837973849084152
2024-01-01 03:39:00,off,off,low,0.5128505615677661
2024-01-01 03:40:00,cooling,on,low,0.7872271431309354
2024-01-01 03:41:00,off,off,low,0.8537494461319286
2024-01-01 03:42:00,cooling,on,low,0.8682214727022328
2024-01-01 03:43:00,off,off,low,0.7099187104109983
2024-01-01 03:44:00,cooling,on,low,0.4268199862890679
2024-01-01 03:45:00,off,off,low,0.3238374920188145
2024-01-01 03:46:00,cooling,on,low,0.38832013689609346
2024-01-01 03:47:00,off,off,low,0.8793281507363673
2024-01-01 03:48:00,cooling,on,low,0.5772580945156617
2024-01-01 03:49:00,off,off,low,0.8129916088992346
2024-01-01 03:50:00,cooling,on,low,0.5790264921349747
2024-01-01 03:51:00,off,off,low,0.6964905500759038
2024-01-01 03:52:00,cooling,on,low,0.31448446627340015
2024-01-01 03:53:00,off,off,low,0.44991896563162004
2024-01-01 03:54:00,cooling,on,low,0.5617615680255535
2024-01-01 03:55:00,off,off,low,0.678378628292498
2024-01-01 03:56:00,cooling,on,low,0.4029127128319071
2024-01-01 03:57:00,off,off,low,0.7587308785622942
2024-01-01 03:58:00,cooling,off,low,0.5186428236817424
2024-01-01 03:59:00,off,off,low,0.7904611615403307
2024-01-01 04:00:00,cooling,on,low,0.3587814542370404
2024-01-01 04:01:00,off,off,low,0.7078539526094232
2024-01-01 04:02:00,cooling,on,low,0.4759969999239061
2024-01-01 04:03:00,off,off,low,0.7772299044735709
2024-01-01 04:04:00,cooling,on,low,0.5413022562254464
2024-01-01 04:05:00,off,off,low,0.69920977935814
2024-01-01 04:06:00,cooling,on,low,0.8605831611818842
2024-01-01 04:07:00,off,off,low,0.3123759792082586
2024-01-01 04:08:00,cooling,on,low,0.3066700694006242
2024-01-01 04:09:00,off,off,low,0.7621675513060282
2024-01-01 04:10:00,cooling,on,low,0.6878358309048469
2024-01-01 04:11:00,off,off,low,0.47578783230265964
2024-01-01 04:12:00,cooling,on,low,0.5966380216645575
2024-01-01 04:13:00,off,off,low,0.32516139935932126
2024-01-01 04:14:00,cooling,on,low,0.4154673632167445
2024-01-01 04:15:00,off,off,low,0.5546978247163006
2024-01-01 04:16:00,off,on,low,0.8004266497328894
2024-01-01 04:17:00,off,off,low,0.5878003097160509
2024-01-01 04:18:00,cooling,on,low,0.6518175027155872
2024-01-01 04:19:00,off,off,low,0.8242522751962684
2024-01-01 04:20:00,cooling,on,low,0.4852913481533072
2024-01-01 04:21:00,off,off,low,0.7204195926612336
2024-01-01 04:22:00,cooling,on,low,0.817000355206952
2024-01-01 04:23:00,off,off,low,0.42156942041770606
2024-01-01 04:24:00,cooling,on,low,0.5138868990886996
2024-01-01 04:25:00,off,off,low,0.887886104333613
2024-01-01 04:26:00,cooling,on,low,0.8899311388777267
2024-01-01 04:27:00,off,off,low,0.4339379581763627
2024-01-01 04:28:00,cooling,on,low,0.33986750333557686
2024-01-01 04:29:00,off,off,low,0.46255296678603175
2024-01-01 04:30:00,cooling,on,low,0.5386391743822123
2024-01-01 04:31:00,off,off,low,0.5646033605586982
2024-01-01 04:32:00,cooling,on,low,0.6712837843982542
2024-01-01 04:33:00,off,off,low,0.8397016560789279
2024-01-01 04:34:00,cooling,on,low,0.4982088071442975
2024-01-01 04:35:00,off,off,low,0.8099907212995252
2024-01-01 04:36:00,cooling,on,low,0.3560873525559761
2024-01-01 04:37:00,off,off,low,0.32512481938392884
2024-01-01 04:38:00,cooling,on,low,0.6024271098740768
2024-01-01 04:39:00,off,off,low,0.3357973339983629
2024-01-01 04:40:00,cooling,on,low,0.535493880740538
2024-01-01 04:41:00,off,off,low,0.8380668701215408
2024-01-01 04:42:00,cooling,on,low,0.444889821724484
2024-01-01 04:43:00,off,off,low,0.723585465074942
2024-01-01 04:44:00,cooling,on,low,0.48141923543404014
2024-01-01 04:45:00,off,off,low,0.3269520331452814
2024-01-01 04:46:00,cooling,on,low,0.6340143488461856
2024-01-01 04:47:00,off,off,low,0.8009120943220511
2024-01-01 04:48:00,cooling,on,low,0.5456810690055717
2024-01-01 04:49:00,off,off,low,0.6703762958748523
2024-01-01 04:50:00,cooling,on,low,0.8400141585946357
2024-01-01 04:51:00,off,off,low,0.7738167076421927
2024-01-01 04:52:00,cooling,on,low,0.4163258396356916
2024-01-01 04:53:00,off,off,low,0.7400303756190035
2024-01-01 04:54:00,cooling,on,low,0.6011358150960913
2024-01-01 04:55:00,off,off,low,0.7475800847316509
2024-01-01 04:56:00,cooling,on,low,0.596709330313331
2024-01-01 04:57:00,off,off,low,0.3767748984649817
2024-01-01 04:58:00,cooling,on,low,0.6419456680135436
2024-01-01 04:59:00,off,off,low,0.595280395438404
2024-01-01 05:00:00,cooling,off,low,0.6107530401848651
2024-01-01 05:01:00,off,off,low,0.8273414721875223
2024-01-01 05:02:00,cooling,on,low,0.836902228023751
2024-01-01 05:03:00,off,off,low,0.572122264059431
2024-01-01 05:04:00,cooling,on,low,0.5734392247680531
2024-01-01 05:05:00,off,off,low,0.6091121753235696
2024-01-01 05:06:00,cooling,on,low,0.6117535670005543
2024-01-01 05:07:00,off,off,low,0.8702322865074676
2024-01-01 05:08:00,cooling,on,low,0.689640280426496
2024-01-01 05:09:00,off,off,low,0.46647419693276637
2024-01-01 05:10:00,cooling,on,low,0.618922078172394
2024-01-01 05:11:00,off,off,low,0.6763341497447898
2024-01-01 05:12:00,cooling,on,low,0.6838630326083788
2024-01-01 05:13:00,off,off,low,0.6511525357429097
2024-01-01 05:14:00,cooling,on,low,0.4066416927729224
2024-01-01 05:15:00,off,off,low,0.3201559134477045
2024-01-01 05:16:00,cooling,on,low,0.5027058314201127
2024-01-01 05:17:00,off,off,low,0.5565132927361521
2024-01-01 05:18:00,cooling,on,low,0.33708254374565194
2024-01-01 05:19:00,off,off,low,0.7889804028119077
2024-01-01 05:20:00,cooling,on,low,0.5064464625061642
2024-01-01 05:21:00,off,off,low,0.8481796477071029
2024-01-01 05:22:00,cooling,on,low,0.3926460647053591
2024-01-01 05:23:00,off,off,low,0.33416097416238805
2024-01-01 05:24:00,cooling,on,low,0.5893896626317932
2024-01-01 05:25:00,off,off,low,0.413477602095424
2024-01-01 05:26:00,cooling,on,low,0.8624395653467167
2024-01-01 05:27:00,off,off,low,0.30618203907224334
2024-01-01 05:28:00,cooling,on,low,0.547571805035421
2024-01-01 05:29:00,off,off,low,0.8560486628071011
2024-01-01 05:30:00,cooling,on,low,0.530650924037861
2024-01-01 05:31:00,off,off,low,0.35586556836027644
2024-01-01 05:32:00,cooling,on,low,0.48173696571707225
2024-01-01 05:33:00,off,off,low,0.5988062363006601
2024-01-01 05:34:00,cooling,on,low,0.4110910124059999
2024-01-01 05:35:00,off,off,low,0.5799370230859572
2024-01-01 05:36:00,cooling,on,low,0.8018059174715026
2024-01-01 05:37:00,off,off,low,0.8235707821179679
2024-01-01 05:38:00,cooling,on,low,0.32955644082643926
2024-01-01 05:39:00,off,off,low,0.3965420148315441
2024-01-01 05:40:00,cooling,on,low,0.46517408146008254
2024-01-01 05:41:00,off,off,low,0.6569195105325611
2024-01-01 05:42:00,off,on,low,0.5165968552754803
2024-01-01 05:43:00,off,off,low,0.8064245480676453
2024-01-01 05:44:00,cooling,on,low,0.7300031209697626
2024-01-01 05:45:00,off,off,low,0.3602736138681049
2024-01-01 05:46:00,cooling,on,low,0.6747345015072548
2024-01-01 05:47:00,off,off,low,0.3678075752081871
2024-01-01 05:48:00,cooling,on,low,0.45302140178187605
2024-01-01 05:49:00,off,off,low,0.40672238012053685
2024-01-01 05:50:00,cooling,on,low,0.403837169520423
2024-01-01 05:51:00,off,off,low,0.6698373148661156
2024-01-01 05:52:00,cooling,on,low,0.638162953532497
2024-01-01 05:53:00,off,off,low,0.40561689167263615
2024-01-01 05:54:00,cooling,on,low,0.8941036832510592
2024-01-01 05:55:00,off,off,low,0.5531020394209762
2024-01-01 05:56:00,cooling,on,low,0.358241596892962
2024-01-01 05:57:00,off,off,low,0.3723414101730691
2024-01-01 05:58:00,cooling,on,low,0.6503362282359568
2024-01-01 05:59:00,off,off,low,0.8874416420300837
2024-01-01 06:00:00,cooling,on,low,0.6431706609715188
2024-01-01 06:01:00,off,off,low,0.8694248859699825
2024-01-01 06:02:00,cooling,on,low,0.566479710454816
2024-01-01 06:03:00,off,off,low,0.5615046621912072
2024-01-01 06:04:00,cooling,on,low,0.6000044155895294
2024-01-01 06:05:00,off,off,low,0.7184552748933333
2024-01-01 06:06:00,cooling,on,low,0.5205695798707997
2024-01-01 06:07:00,off,off,low,0.8183316196073742
2024-01-01 06:08:00,cooling,on,low,0.3175688308608877
2024-01-01 06:09:00,off,off,low,0.5638585170170654
2024-01-01 06:10:00,cooling,on,low,0.6065951099879507
2024-01-01 06:11:00,off,off,low,0.6642193429578578
2024-01-01 06:12:00,cooling,on,low,0.46564314741951796
2024-01-01 06:13:00,off,off,low,0.5564879825915012
2024-01-01 06:14:00,cooling,on,low,0.590722650128434
2024-01-01 06:15:00,off,off,low,0.712145987209928
2024-01-01 06:16:00,cooling,on,low,0.7641265108414885
2024-01-01 06:17:00,off,off,low,0.7426963964062724
2024-01-01 06:18:00,cooling,on,low,0.5049498313737512
2024-01-01 06:19:00,off,off,low,0.8996703137951783
2024-01-01 06:20:00,cooling,on,low,0.8091991870723076
2024-01-01 06:21:00,off,off,low,0.45601402388698137
2024-01-01 06:22:00,cooling,on,low,0.41706348340369653
2024-01-01 06:23:00,off,off,low,0.4884127503500343
2024-01-01 06:24:00,cooling,on,low,0.571406911799787
2024-01-01 06:25:00,off,off,low,0.8104796269917685
2024-01-01 06:26:00,cooling,off,low,0.7670173582767208
2024-01-01 06:27:00,off,off,low,0.8107476741035258
2024-01-01 06:28:00,cooling,on,low,0.46317426894619707
2024-01-01 06:29:00,off,off,low,0.6560767334711017
2024-01-01 06:30:00,cooling,on,low,0.4699494373664247
2024-01-01 06:31:00,off,off,low,0.36541389643169586
2024-01-01 06:32:00,cooling,on,low,0.7105186460848084
2024-01-01 06:33:00,off,off,low,0.3857985307172633
2024-01-01 06:34:00,cooling,on,low,0.7006186570238829
2024-01-01 06:35:00,off,off,low,0.6887785829432456
2024-01-01 06:36:00,cooling,on,low,0.7861490666544102
2024-01-01 06:37:00,off,off,low,0.3837327627381386
2024-01-01 06:38:00,cooling,on,low,0.7700880891052866
2024-01-01 06:39:00,off,off,low,0.8995659155677422
2024-01-01 06:40:00,cooling,on,low,0.8106254691515413
2024-01-01 06:41:00,off,off,low,0.7510872457965998
2024-01-01 06:42:00,cooling,on,low,0.6972992128168246
2024-01-01 06:43:00,off,off,low,0.5530688908112577
2024-01-01 06:44:00,cooling,on,low,0.7383001007349614
2024-01-01 06:45:00,off,off,low,0.734506821084272
2024-01-01 06:46:00,cooling,on,low,0.6788989696123731
2024-01-01 06:47:00,off,off,low,0.7777670269786972
2024-01-01 06:48:00,cooling,on,low,0.5692583330561009
2024-01-01 06:49:00,off,off,low,0.3727516272794344
2024-01-01 06:50:00,off,on,low,0.6354406365655425
2024-01-01 06:51:00,off,off,low,0.4590261172268056
2024-01-01 06:52:00,cooling,on,low,0.5306598584574902
2024-01-01 06:53:00,off,off,low,0.3104489423647356
2024-01-01 06:54:00,cooling,on,low,0.52967435275073
2024-01-01 06:55:00,off,off,low,0.7852806636812728
2024-01-01 06:56:00,off,on,low,0.625633420162953
2024-01-01 06:57:00,off,off,low,0.30588031616038264
2024-01-01 06:58:00,cooling,on,low,0.5819062921439084
2024-01-01 06:59:00,off,off,low,0.47487098858724447
2024-01-01 07:00:00,cooling,on,low,0.5865303932383027
2024-01-01 07:01:00,off,off,low,0.5428156328687262
2024-01-01 07:02:00,cooling,on,low,0.8591875317344291
2024-01-01 07:03:00,off,off,low,0.3247063793778095
2024-01-01 07:04:00,cooling,on,low,0.7101528067691594
2024-01-01 07:05:00,off,off,low,0.810615957781045
2024-01-01 07:06:00,cooling,on,low,0.8755431507902853
2024-01-01 07:07:00,off,off,low,0.40658173592657754
2024-01-01 07:08:00,cooling,on,low,0.6187828811797164
2024-01-01 07:09:00,off,off,low,0.3261537463903271
2024-01-01 07:10:00,cooling,on,low,0.5995101146730532
2024-01-01 07:11:00,off,off,low,0.37527485372458913
2024-01-01 07:12:00,cooling,on,low,0.8027380048192281
2024-01-01 07:13:00,off,off,low,0.3683220015632189
2024-01-01 07:14:00,cooling,on,low,0.6079730162318973
2024-01-01 07:15:00,off,off,low,0.6126576413956523
2024-01-01 07:16:00,cooling,on,low,0.8829902987589633
2024-01-01 07:17:00,off,off,low,0.6929884164233329
2024-01-01 07:18:00,cooling,on,low,0.47270417584608115
2024-01-01 07:19:00,off,off,low,0.44447958596288306
2024-01-01 07:20:00,cooling,on,low,0.37694892338703895
2024-01-01 07:21:00,off,off,low,0.7539088344294358
2024-01-01 07:22:00,cooling,on,low,0.7144539937094032
2024-01-01 07:23:00,off,off,low,0.6659262763848637
2024-01-01 07:24:00,cooling,on,low,0.32450426576999297
2024-01-01 07:25:00,off,off,low,0.7576973198365767
2024-01-01 07:26:00,cooling,off,low,0.6851325462890876
2024-01-01 07:27:00,off,off,low,0.8783333208662931
2024-01-01 07:28:00,cooling,on,low,0.6523212779260873
2024-01-01 07:29:00,off,off,low,0.48237114399702485
2024-01-01 07:30:00,cooling,on,low,0.5289123313135922
2024-01-01 07:31:00,off,off,low,0.40550442322693947
2024-01-01 07:32:00,cooling,on,low,0.7337485093208311
2024-01-01 07:33:00,off,off,low,0.7246329960130353
2024-01-01 07:34:00,cooling,on,low,0.42039000928660575
2024-01-01 07:35:00,off,off,low,0.39509359390936716
2024-01-01 07:36:00,cooling,on,low,0.3462029599213168
2024-01-01 07:37:00,off,off,low,0.8471854462090553
2024-01-01 07:38:00,cooling,on,low,0.4398419002169107
2024-01-01 07:39:00,off,off,low,0.5064981160510824
2024-01-01 07:40:00,cooling,off,low,0.4683027050264944
2024-01-01 07:41:00,off,off,low,0.5481747615664747
2024-01-01 07:42:00,cooling,on,low,0.72842927962949
2024-01-01 07:43:00,off,off,low,0.8223573802357707
2024-01-01 07:44:00,cooling,on,low,0.4095592497171241
2024-01-01 07:45:00,off,off,low,0.7118474062446991
2024-01-01 07:46:00,cooling,on,low,0.5115372853454911
2024-01-01 07:47:00,off,off,low,0.8883163009783757
2024-01-01 07:48:00,cooling,on,low,0.4793514955704461
2024-01-01 07:49:00,off,off,low,0.30431577360471596
2024-01-01 07:50:00,cooling,on,low,0.6093839844119071
2024-01-01 07:51:00,off,off,low,0.39043865056556265
2024-01-01 07:52:00,cooling,on,low,0.3266966560910395
2024-01-01 07:53:00,off,off,low,0.7189615391686252
2024-01-01 07:54:00,cooling,on,low,0.739355569505074
2024-01-01 07:55:00,off,off,low,0.5764194078699015
2024-01-01 07:56:00,cooling,on,low,0.7061313100539464
2024-01-01 07:57:00,off,off,low,0.6229436689482803
2024-01-01 07:58:00,cooling,on,medium,0.677880664633159
2024-01-01 07:59:00,off,off,medium,0.6580223839127768
2024-01-01 08:00:00,cooling,on,medium,0.6994936584333555
2024-01-01 08:01:00,off,off,medium,0.41977838920390276
2024-01-01 08:02:00,cooling,on,high,0.46122397202202015
2024-01-01 08:03:00,off,off,high,0.5639778897046153
2024-01-01 08:04:00,cooling,on,medium,0.5676768056515118
